Image,Item,Client,Category,Role,Date,Program,Supplier,Notes,Image 2,Image 3,Status
,Don't Worry About Me,Lil Capi,Cover Artwork,"Assistant, BTS",2019,,,https://open.spotify.com/album/08ej3uKzt2vLrP5W9ucLgM,,,Public
,Say it All,Anxiety Attacks!,Music Video,Video Editor,2019,"Final Cut Pro, VHS",,https://youtu.be/dW_6ksHcp4o?si=ZczKm1pVQVB4ruCG,,,Public
,Lil Capi Artist Profile Art,Lil Capi,Artist Branding,Photographer,2019,,,,,,Public
,Triarchy Soho House (Hollywood) Popup,Triarchy,"Event, Popup",Assistant ,2019,,,,,,Public
,Chemicals,Anxiety Attacks!,Music Video,"Video Editor, Filming",2019,"Final Cut Pro, VHS",,https://youtu.be/dueijQ2jNMs,,,Public
,Escape Claws,Jaxxon D. Silva,Music Video,"Filming, BTS",2019,"Final Cut Pro, VHS",,https://youtu.be/bwelDYFC-EA?si=FwcsCQZX0hJDG-hC,,,Public
,Moxie (2019),Personal Project,Short Film,"Director, Editor, Filming",2019,"Final Cut Pro, VHS",,https://youtu.be/FWepQ9UbAvU?si=YIE9VqRGB2bADGue,,,Public
,Joyride. (2020),Personal Project,Short Film,"Director, Editor, Filming",2020,"Final Cut Pro, VHS",,https://youtu.be/ciqv9p1qh3A?si=nYbGvRgUT-mpq0lS,,,Public
,Impulse. (2020),Personal Project,Short Film,"Director, Editor, Filming",2020,"Final Cut Pro, VHS",,https://youtu.be/cjErejresbc?si=z-PbyhV3rXjz762U,,,Public
,School Sucks (2019),Personal Project,Short Film,"Director, Editor, Filming",2019,"Final Cut Pro, VHS",,"School Sucks is a short film about life as a high schooler in the year 2019. It was filmed through out the entire school year and resulted in 15 hours of video, new friends and lots of memories. https://youtu.be/jWkjFyCTDfw?si=MGAFd6CCPaMd591m",,,Public
,Sunset Beach Hotel Merch,Sunset Beach,"Merch, Clothing",Graphic Design,7.2025,,,,,,Public
,Casa Cipriani (NYC) Pool Accessories,Casa Cipriani,Physical Goods,"Graphic Design, Assistant",4.2025,,,,,,Public
,Cadillac Lyric,Flower Shop Agency,"Assistant, Research",,2024,,,,,,Public
,Luxury Real Estate Digital Communications,"Sotheby's Reality, Aspen","Website, Email, Blog",,2025,,,,,,Public
,"MCM + The Standard, Highline","The Standard, MCM","Retail, Merchandising, Event",,2024,,,,,,Public
,Wiederhoeft,Lindsey Media,NYFW Event,NYFW Assistant,2024,,,,,,Public
,Sandy Liang,Lindsey Media,NYFW Event,NYFW Assistant,2024,,,,,,Public
,Dauphinette,Lindsey Media,NYFW Event,NYFW Assistant,2023,,,,,,Public
,Bruce Glen,Lindsey Media,NYFW Event,NYFW Assistant,2023,,,,,,Public
,A Year of Get a Room,Nothing Radio,Zine,"Photographer, Graphic Designer",2025,,,,,,Public
,The Drone of Humanity (2022),Nothing Solutions,"Collection, Clothing","Designer, Video Editor",2022,,,Freshman year collection at FIT. https://youtu.be/NlnWWFY0l4c,,,Public
